Address,Amount
0x68001420733be1f8ca639112108a0eba7c19a365,1418919.02
0xe9fd1e557a4851fe1ba76def2967da15defa4e4d,701613.91
0xcdbdcf4ce903a9ae2d3b97e8f8b982d1f01cd820,580196.99
0xeee37fedf95e5ee65ce6e3ad1cbcfa9055932311,46977.17
0x67e208c46429ead238f1aeac13fb5ea32bb10b30,37458.51
0x5576504c3e28e9e2597384fd4e443b4fb73c9537,34542.27
0x5217595c799f12c9c586b6a7496144a3cbab3446,22740.46
0x45b389f865e83095052142a54743d5ed48d5c80b,17219.73
0xfcd8d7ce063fde76e0adcd85d4e1a4f557ae407b,15435.72
0x703bb9d812e414dc6fe4d3b80de1c07901a6d9e0,15000.00
0x436c8e082d466e55dca232df984680ed2f65687c,14477.02
0x7c1301f4f7c65cb927546ab98b1e83233910c5c5,13088.11
0x059f5bce7411defbb0772205014dc80d70bb49d7,13000.94
0xef8e38a3fe50e20cf67b41b15f12a9ec9dcd0070,11100.00
0x01cfdbdf1f300d69b1b4de272068334331023f8f,11000.38
0x1434ec1028936cd49ce82c88278e43b8e888100a,10949.49
0xc7c58f08e3573f8edc7c1e857810e81e7434ca4b,10555.00
0x0bf9c9eff3f474d8e58e3f21d4f16555bab12c67,10000.00
0x0aa2dc4eba31b480804043fb7b337a915b5e5511,9749.12
0xc6b5644dc1abf20d16ec60d0b62be93871ff9930,9418.72
0xfda2f0143fbc896c6dac4fa50714661f93187b44,9091.32
0xc5ba05736c62f5479f0bc2861e23861cafdad8bc,9000.00
0xd09a11b45aa8f52813a14a56f841e466f0e44266,8855.03
0x7e8ff5db577cb02d5f1421068ec271009da8b318,8327.26
0xfd536b5b8a3097181f379cb92153bdd6b39c31f0,6000.00
0x421fd9611a45543e329c9a5d182f6bc60d96e7a2,5965.60
0x806718e2641803672568fcc644e37e98a5e5f414,5871.09
0x4b9d82593dfd26fe0eda1d8be1e10ea6961aeee2,5000.00
0x040fba36e09211efd81a77f0406adf876e562e18,4968.00
0x525a46ccaf854961ac8c214f760be37676759fc0,3066.37
0xb7396d65ac352471dbbeffc94baf8ef3a7251a6b,3000.44
0xef3a1aa8ab2a6d158a9a154958fdd3f449053ed1,2518.25
0x813da0cef36a1d86fa8273b73f6fe5555fa8f333,2239.45
0x5035f3f4e844bc5ee363891c4454ed18638eeca2,2183.87
